RK,NAME,TEAM,SALARY,YEAR
229,D.J. Wilson,Houston Rockets,4548280,2021
230,Deni Avdija,Washington Wizards,4469160,2021
231,Kevon Looney,Golden State Warriors,4464226,2021
232,Cam Reddish,Atlanta Hawks,4458000,2021
233,T.J. Leaf,Portland Trail Blazers,4326825,2021
234,Jalen Smith,Phoenix Suns,4245720,2021
235,JaVale McGee,Denver Nuggets,4200000,2021
236,Reggie Bullock,New York Knicks,4200000,2021
237,Mikal Bridges,Phoenix Suns,4161000,2021
238,Shai Gilgeous-Alexander,Oklahoma City Thunder,4141320,2021
239,John Collins,Atlanta Hawks,4137302,2021
240,Nicolo Melli,Dallas Mavericks,4102564,2021
241,Willie Cauley-Stein,Dallas Mavericks,4100000,2021
242,Devin Vassell,San Antonio Spurs,4033440,2021
243,Cameron Johnson,Phoenix Suns,4033440,2021
244,P.J. Washington,Charlotte Hornets,4023600,2021
245,Patrick McCaw,Toronto Raptors,4000000,2021
246,Dorian Finney-Smith,Dallas Mavericks,4000000,2021
247,Terrance Ferguson,Philadelphia 76ers,3944013,2021
248,Miles Bridges,Charlotte Hornets,3934320,2021
249,Jevon Carter,Phoenix Suns,3925000,2021
250,Jarrett Allen,Cleveland Cavaliers,3909902,2021
251,OG Anunoby,Toronto Raptors,3872215,2021
252,Gabriel Deck,Oklahoma City Thunder,3870370,2021
253,Tyrese Haliburton,Sacramento Kings,3831840,2021
254,Stanley Johnson,Toronto Raptors,3804150,2021
255,Jake Layman,Minnesota Timberwolves,3761085,2021
256,Jerome Robinson,Washington Wizards,3737520,2021
257,Danuel House Jr.,Houston Rockets,3717000,2021
258,Kira Lewis Jr.,New Orleans Pelicans,3640200,2021
259,Romeo Langford,Boston Celtics,3631200,2021
260,Maurice Harkless,Sacramento Kings,3623000,2021
261,Bobby Portis,Milwaukee Bucks,3623000,2021
262,Wesley Matthews,Los Angeles Lakers,3623000,2021
263,Kyle Kuzma,Los Angeles Lakers,3562178,2021
264,Allonzo Trier,New York Knicks,3551000,2021
265,Michael Porter Jr.,Denver Nuggets,3550800,2021
266,Tony Bradley,Oklahoma City Thunder,3542060,2021
267,Derrick White,San Antonio Spurs,3516284,2021
268,Bismack Biyombo,Charlotte Hornets,3500000,2021
269,Luca Vildoza,New York Knicks,3500000,2021
270,Michael Beasley,Brooklyn Nets,3500000,2021
271,T.J. McConnell,Indiana Pacers,3500000,2021
272,Boban Marjanovic,Dallas Mavericks,3500000,2021
273,Josh Hart,New Orleans Pelicans,3491159,2021
274,Aaron Nesmith,Boston Celtics,3458400,2021
275,Sekou Doumbouya,Detroit Pistons,3449400,2021
276,Michael Carter-Williams,Orlando Magic,3300000,2021
277,James Ennis III,Orlando Magic,3300000,2021
278,Cole Anthony,Orlando Magic,3285120,2021
279,Troy Brown Jr.,Chicago Bulls,3219480,2021
280,Facundo Campazzo,Denver Nuggets,3200000,2021
281,Chuma Okeke,Orlando Magic,3121080,2021
282,Isaiah Stewart,Detroit Pistons,3121080,2021
283,Nickeil Alexander-Walker,New Orleans Pelicans,3113160,2021
284,Patrick Patterson,LA Clippers,3077704,2021
285,Donte DiVincenzo,Milwaukee Bucks,3044160,2021
286,Khem Birch,Toronto Raptors,3000000,2021
287,Trey Burke,Dallas Mavericks,3000000,2021
288,Ryan Arcidiacono,Chicago Bulls,3000000,2021
289,Aleksej Pokusevski,Oklahoma City Thunder,2964840,2021
290,Goga Bitadze,Indiana Pacers,2957520,2021
291,Luka Samanic,San Antonio Spurs,2892000,2021
292,Lonnie Walker IV,San Antonio Spurs,2892000,2021
293,Josh Green,Dallas Mavericks,2816760,2021
294,Kevin Huerter,Atlanta Hawks,2761920,2021
295,Alex Caruso,Los Angeles Lakers,2750000,2021
296,Matisse Thybulle,Philadelphia 76ers,2711280,2021
297,Saddiq Bey,Detroit Pistons,2689920,2021
298,Josh Okogie,Minnesota Timberwolves,2651040,2021
299,Marko Guduric,Memphis Grizzlies,2625000,2021
300,Vincent Poirier,Philadelphia 76ers,2619207,2021
301,Brandon Clarke,Memphis Grizzlies,2602920,2021
302,Precious Achiuwa,Miami Heat,2582160,2021
303,Tyler Herro,Miami Heat,2582160,2021
304,Marc Gasol,Los Angeles Lakers,2564753,2021
305,Nene Hilario,Atlanta Hawks,2564753,2021
306,Grayson Allen,Memphis Grizzlies,2545320,2021
307,Manu Ginobili,San Antonio Spurs,2500000,2021
308,Grant Williams,Boston Celtics,2498760,2021
309,Tyrese Maxey,Philadelphia 76ers,2478840,2021
310,Emeka Okafor,Philadelphia 76ers,2445085,2021
311,Kendrick Perkins,Cleveland Cavaliers,2445085,2021
312,Chandler Hutchison,Washington Wizards,2443440,2021
313,Tyler Zeller,Atlanta Hawks,2436046,2021
314,Aaron Holiday,Indiana Pacers,2345640,2021
315,Darius Bazley,Oklahoma City Thunder,2339160,2021
316,Bryn Forbes,Milwaukee Bucks,2337145,2021
317,Ty Jerome,Oklahoma City Thunder,2303040,2021
318,Zeke Nnaji,Denver Nuggets,2284800,2021
319,Mike Muscala,Oklahoma City Thunder,2283034,2021
320,Ben McLemore,Los Angeles Lakers,2283034,2021
321,Anfernee Simons,Portland Trail Blazers,2252040,2021
322,Brad Wanamaker,Charlotte Hornets,2250000,2021
323,Luke Kornet,Boston Celtics,2250000,2021
324,Brandon Jennings,Milwaukee Bucks,2222803,2021
325,Nassir Little,Portland Trail Blazers,2210640,2021
326,Payton Pritchard,Boston Celtics,2193480,2021
327,R.J. Hampton,Orlando Magic,2193040,2021
328,Edmond Sumner,Indiana Pacers,2160000,2021
329,Dylan Windler,Cleveland Cavaliers,2137440,2021
330,Immanuel Quickley,New York Knicks,2105520,2021
331,John Konchar,Memphis Grizzlies,2100000,2021
332,Landry Shamet,Brooklyn Nets,2090040,2021
333,Jordan Poole,Golden State Warriors,2063280,2021
334,Bol Bol,Denver Nuggets,2058240,2021
335,Sean Kilpatrick,Chicago Bulls,2054856,2021
336,Keldon Johnson,San Antonio Spurs,2048040,2021
337,Robert Williams III,Boston Celtics,2029920,2021
338,Bruno Caboclo,Houston Rockets,2028594,2021
339,Jacob Evans,New York Knicks,2017320,2021
340,Dzanan Musa,Detroit Pistons,2002800,2021
341,Theo Maledon,Oklahoma City Thunder,2000000,2021
342,Kenrich Williams,Oklahoma City Thunder,2000000,2021
343,Gary Clark,Philadelphia 76ers,2000000,2021
344,Damyean Dotson,Cleveland Cavaliers,2000000,2021
345,Omari Spellman,New York Knicks,1988280,2021
346,Cameron Payne,Phoenix Suns,1977011,2021
347,Udoka Azubuike,Utah Jazz,1977000,2021
348,Jaden McDaniels,Minnesota Timberwolves,1964760,2021
349,Malachi Flynn,Toronto Raptors,1950600,2021
350,Desmond Bane,Memphis Grizzlies,1936440,2021
351,Jontay Porter,Memphis Grizzlies,1900000,2021
352,Jahlil Okafor,Detroit Pistons,1882867,2021
353,Marquese Chriss,Golden State Warriors,1824003,2021
354,David Nwaba,Houston Rockets,1824003,2021
355,DeAndre Liggins,Miami Heat,1795015,2021
356,Georges Niang,Utah Jazz,1783557,2021
357,Furkan Korkmaz,Philadelphia 76ers,1762796,2021
358,Alfonzo McKinnie,Los Angeles Lakers,1762796,2021
359,Damion Lee,Golden State Warriors,1762796,2021
360,PJ Dozier,Denver Nuggets,1762796,2021
361,Abdel Nader,Phoenix Suns,1752950,2021
362,Semi Ojeleye,Boston Celtics,1752950,2021
363,Mario Hezonja,Memphis Grizzlies,1737145,2021
364,DeAndre' Bembry,Toronto Raptors,1737145,2021
365,Kevin Porter Jr.,Houston Rockets,1717981,2021
366,Shake Milton,Philadelphia 76ers,1701593,2021
367,Thanasis Antetokounmpo,Milwaukee Bucks,1701593,2021
368,Brandon Goodwin,Atlanta Hawks,1701593,2021
369,Jonah Bolden,Phoenix Suns,1698450,2021
370,Wes Iwundu,New Orleans Pelicans,1678854,2021
371,Dwayne Bacon,Orlando Magic,1678854,2021
372,Dragan Bender,Golden State Warriors,1678854,2021
373,Isaac Bonga,Washington Wizards,1663861,2021
374,Gary Trent Jr.,Toronto Raptors,1663861,2021
375,Svi Mykhailiuk,Oklahoma City Thunder,1663861,2021
376,Keita Bates-Diop,San Antonio Spurs,1663861,2021
377,Mitchell Robinson,New York Knicks,1663861,2021
378,Bruce Brown,Brooklyn Nets,1663861,2021
379,Duncan Robinson,Miami Heat,1663861,2021
380,Kendrick Nunn,Miami Heat,1663861,2021
381,Hamidou Diallo,Detroit Pistons,1663861,2021
382,Jalen Brunson,Dallas Mavericks,1663861,2021
383,Jarred Vanderbilt,Minnesota Timberwolves,1663361,2021
384,Julyan Stone,Chicago Bulls,1656092,2021
385,MarShon Brooks,Chicago Bulls,1656092,2021
386,Isaiah Taylor,Toronto Raptors,1620564,2021
387,Raul Neto,Washington Wizards,1620564,2021
388,Hassan Whiteside,Sacramento Kings,1620564,2021
389,Josh Gray,Oklahoma City Thunder,1620564,2021
390,Drew Eubanks,San Antonio Spurs,1620564,2021
391,Tyler Lydon,Sacramento Kings,1620564,2021
392,Glenn Robinson III,Sacramento Kings,1620564,2021
